CODIGO DEL PRODUCTO;NOMBRE PRODUCTO;UNIDAD;PRESENTACION;TEMPERATURA;PRECIO EXWORK 2022;TIPO
130602001M;MAGLUMI FSH;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602002M;MAGLUMI LH;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602003M;MAGLUMI HCG/β- HCG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602006M;MAGLUMI Prolactin (PRL);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602007M;MAGLUMI Estradiol (E2);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602008M;MAGLUMI Free Estriol (FE3);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602009M;MAGLUMI Progesterone (PRG);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602010M;MAGLUMI Testosterone (TEST);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602011M;MAGLUMI Free Testosterone (F-TEST);KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;38.90;REACTIVO
130602012M;MAGLUMI DHEA-S;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;106.21;REACTIVO
130614003M;MAGLUMI PAPP-A;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;87.07;REACTIVO
130602014M;MAGLUMI AMH;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;494.00;REACTIVO
130602015M;MAGLUMI SHBG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;64.22;REACTIVO
130614001M;MAGLUMI AFP PRENATAL;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;58.05;REACTIVO
130614002M;MAGLUMI Free β-HCG;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;77.19;REACTIVO
130601001M;MAGLUMI Ferritin;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130601002M;MAGLUMI AFP;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130601003M;MAGLUMI CEA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;33.96;REACTIVO
130601004M;MAGLUMI PSA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;82.13;REACTIVO
130601005M;MAGLUMI f-PSA;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;82.13;REACTIVO
130601006M;MAGLUMI PAP;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;92.01;REACTIVO
130601009M;MAGLUMI CA 125;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;REACTIVO
130601010M;MAGLUMI CA 15-3;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;REACTIVO
130601011M;MAGLUMI CA 19-9;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;REACTIVO
130601012M;MAGLUMI CA 50;KIT;095e9dd8-82fc-4a52-ba9f-f87b3697743c;;101.89;REACTIVO
